datetime,time,pr,pet
8/1/2014,1.40685E+12,0,237.34375
9/1/2014,1.40953E+12,0,188.15625
10/1/2014,1.41212E+12,9.315238714,161.8458333
11/1/2014,1.4148E+12,23.46627295,90.75
12/1/2014,1.41739E+12,69.12054753,61.128125
1/1/2015,1.42007E+12,9.15386045,66.39166667
2/1/2015,1.42275E+12,20.99770689,107.390625
3/1/2015,1.42517E+12,22.75502449,136.7875
4/1/2015,1.42785E+12,21.64396405,171.5625
5/1/2015,1.43044E+12,6.943822831,233.9208333
6/1/2015,1.43312E+12,2.881702334,258.09375
7/1/2015,1.43571E+12,1.151226152,276.675
8/1/2015,1.43839E+12,0,245.675
9/1/2015,1.44107E+12,0,200.0625
10/1/2015,1.44366E+12,13.56797579,135.140625
11/1/2015,1.44634E+12,18.70096564,88
12/1/2015,1.44893E+12,42.84603822,49.2125
1/1/2016,1.45161E+12,109.5563478,60.96666667
2/1/2016,1.45428E+12,18.27106637,68.5125
3/1/2016,1.45679E+12,67.38408208,136.884375
4/1/2016,1.45947E+12,19.93617296,163.625
5/1/2016,1.46206E+12,9.290519595,231.240625
6/1/2016,1.46474E+12,0,263.34375
7/1/2016,1.46733E+12,0,274.834375
8/1/2016,1.47001E+12,0,248.871875
9/1/2016,1.47269E+12,0,192.1875
10/1/2016,1.47528E+12,21.86311662,160.8125
11/1/2016,1.47796E+12,21.31668985,84.28125
12/1/2016,1.48055E+12,36.0242672,85.346875
1/1/2017,1.48323E+12,133.8188081,84.475
2/1/2017,1.48591E+12,74.3689785,96.71666667
3/1/2017,1.48833E+12,31.62382054,135.140625
4/1/2017,1.491E+12,38.43660235,179.25
5/1/2017,1.4936E+12,6.97219032,223.00625
6/1/2017,1.49628E+12,0,265.96875
7/1/2017,1.49887E+12,0,273.090625
8/1/2017,1.50155E+12,0,242.090625
9/1/2017,1.50422E+12,0,194.34375
10/1/2017,1.50682E+12,6.032376915,163.9125
11/1/2017,1.50949E+12,18.15542221,110.71875
